A new study created in memory with name: PCA_LGBM
Trial 0 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 27, 'max_depth': 20, 'min_child_samples': 3}. Best is trial 0 with value: 0.8333333333333334.
Trial 24 finished with value: 0.85 and parameters: {'num_leaves': 78, 'max_depth': 10, 'min_child_samples': 4}. Best is trial 8 with value: 0.8666666666666666.
Trial 25 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 48, 'max_depth': 13, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 26 finished with value: 0.85 and parameters: {'num_leaves': 82, 'max_depth': 16, 'min_child_samples': 4}. Best is trial 8 with value: 0.8666666666666666.
Trial 27 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 95, 'max_depth': 11, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 28 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 64, 'max_depth': 8, 'min_child_samples': 3}. Best is trial 8 with value: 0.8666666666666666.
Trial 29 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 25, 'max_depth': 18, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 30 finished with value: 0.85 and parameters: {'num_leaves': 84, 'max_depth': 14, 'min_child_samples': 4}. Best is trial 8 with value: 0.8666666666666666.
Trial 31 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 99, 'max_depth': 15, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 32 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 95, 'max_depth': 15, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 33 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 77, 'max_depth': 13, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 34 finished with value: 0.85 and parameters: {'num_leaves': 99, 'max_depth': 18, 'min_child_samples': 4}. Best is trial 8 with value: 0.8666666666666666.
Trial 35 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 74, 'max_depth': 16, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 36 finished with value: 0.85 and parameters: {'num_leaves': 93, 'max_depth': 11, 'min_child_samples': 4}. Best is trial 8 with value: 0.8666666666666666.
Trial 37 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 84, 'max_depth': 5, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 38 finished with value: 0.85 and parameters: {'num_leaves': 50, 'max_depth': 12, 'min_child_samples': 4}. Best is trial 8 with value: 0.8666666666666666.
Trial 39 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 67, 'max_depth': 19, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 40 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 41, 'max_depth': 9, 'min_child_samples': 3}. Best is trial 8 with value: 0.8666666666666666.
Trial 41 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 32, 'max_depth': 14, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 42 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 17, 'max_depth': 15, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 43 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 19, 'max_depth': 13, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 44 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 29, 'max_depth': 17, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 45 finished with value: 0.85 and parameters: {'num_leaves': 90, 'max_depth': 14, 'min_child_samples': 4}. Best is trial 8 with value: 0.8666666666666666.
Trial 46 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 23, 'max_depth': 12, 'min_child_samples': 2}. Best is trial 8 with value: 0.8666666666666666.
Trial 47 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 36, 'max_depth': 15, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 48 finished with value: 0.85 and parameters: {'num_leaves': 72, 'max_depth': 4, 'min_child_samples': 5}. Best is trial 8 with value: 0.8666666666666666.
Trial 49 finished with value: 0.85 and parameters: {'num_leaves': 55, 'max_depth': 17, 'min_child_samples': 4}. Best is trial 8 with value: 0.8666666666666666.
A new study created in memory with name: SPCA_LGBM
Trial 0 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 40, 'max_depth': 9, 'min_child_samples': 3}. Best is trial 0 with value: 0.8333333333333334.
Trial 1 finished with value: 0.85 and parameters: {'num_leaves': 60, 'max_depth': 12, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 2 finished with value: 0.85 and parameters: {'num_leaves': 15, 'max_depth': 16, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 3 finished with value: 0.85 and parameters: {'num_leaves': 56, 'max_depth': 11, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 4 finished with value: 0.85 and parameters: {'num_leaves': 37, 'max_depth': 11, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 5 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 44, 'max_depth': 16, 'min_child_samples': 2}. Best is trial 1 with value: 0.85.
Trial 6 finished with value: 0.85 and parameters: {'num_leaves': 99, 'max_depth': 6, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 7 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 59, 'max_depth': 15, 'min_child_samples': 2}. Best is trial 1 with value: 0.85.
Trial 8 finished with value: 0.85 and parameters: {'num_leaves': 46, 'max_depth': 9, 'min_child_samples': 4}. Best is trial 1 with value: 0.85.
Trial 9 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 24, 'max_depth': 10, 'min_child_samples': 3}. Best is trial 1 with value: 0.85.
Trial 10 finished with value: 0.8166666666666668 and parameters: {'num_leaves': 81, 'max_depth': 3, 'min_child_samples': 4}. Best is trial 1 with value: 0.85.
Trial 11 finished with value: 0.85 and parameters: {'num_leaves': 70, 'max_depth': 19, 'min_child_samples': 4}. Best is trial 1 with value: 0.85.
Trial 12 finished with value: 0.85 and parameters: {'num_leaves': 19, 'max_depth': 15, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 13 finished with value: 0.85 and parameters: {'num_leaves': 78, 'max_depth': 19, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 14 finished with value: 0.85 and parameters: {'num_leaves': 30, 'max_depth': 14, 'min_child_samples': 4}. Best is trial 1 with value: 0.85.
Trial 15 finished with value: 0.85 and parameters: {'num_leaves': 61, 'max_depth': 13, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 16 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 15, 'max_depth': 17, 'min_child_samples': 3}. Best is trial 1 with value: 0.85.
Trial 17 finished with value: 0.85 and parameters: {'num_leaves': 96, 'max_depth': 7, 'min_child_samples': 4}. Best is trial 1 with value: 0.85.
Trial 18 finished with value: 0.85 and parameters: {'num_leaves': 50, 'max_depth': 13, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 19 finished with value: 0.85 and parameters: {'num_leaves': 70, 'max_depth': 17, 'min_child_samples': 4}. Best is trial 1 with value: 0.85.
Trial 20 finished with value: 0.85 and parameters: {'num_leaves': 30, 'max_depth': 20, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 21 finished with value: 0.85 and parameters: {'num_leaves': 53, 'max_depth': 12, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 22 finished with value: 0.85 and parameters: {'num_leaves': 66, 'max_depth': 7, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 23 finished with value: 0.85 and parameters: {'num_leaves': 88, 'max_depth': 11, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 24 finished with value: 0.85 and parameters: {'num_leaves': 56, 'max_depth': 13, 'min_child_samples': 4}. Best is trial 1 with value: 0.85.
Trial 25 finished with value: 0.85 and parameters: {'num_leaves': 33, 'max_depth': 9, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 26 finished with value: 0.85 and parameters: {'num_leaves': 75, 'max_depth': 17, 'min_child_samples': 4}. Best is trial 1 with value: 0.85.
Trial 27 finished with value: 0.85 and parameters: {'num_leaves': 89, 'max_depth': 12, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 28 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 64, 'max_depth': 5, 'min_child_samples': 3}. Best is trial 1 with value: 0.85.
Trial 29 finished with value: 0.85 and parameters: {'num_leaves': 40, 'max_depth': 10, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 30 finished with value: 0.85 and parameters: {'num_leaves': 49, 'max_depth': 15, 'min_child_samples': 4}. Best is trial 1 with value: 0.85.
Trial 31 finished with value: 0.85 and parameters: {'num_leaves': 37, 'max_depth': 11, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 32 finished with value: 0.85 and parameters: {'num_leaves': 41, 'max_depth': 8, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 33 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 25, 'max_depth': 10, 'min_child_samples': 2}. Best is trial 1 with value: 0.85.
Trial 34 finished with value: 0.85 and parameters: {'num_leaves': 57, 'max_depth': 14, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 35 finished with value: 0.85 and parameters: {'num_leaves': 23, 'max_depth': 11, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 36 finished with value: 0.85 and parameters: {'num_leaves': 45, 'max_depth': 14, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 37 finished with value: 0.85 and parameters: {'num_leaves': 35, 'max_depth': 8, 'min_child_samples': 4}. Best is trial 1 with value: 0.85.
Trial 38 finished with value: 0.85 and parameters: {'num_leaves': 49, 'max_depth': 16, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 39 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 15, 'max_depth': 5, 'min_child_samples': 2}. Best is trial 1 with value: 0.85.
Trial 40 finished with value: 0.85 and parameters: {'num_leaves': 43, 'max_depth': 9, 'min_child_samples': 4}. Best is trial 1 with value: 0.85.
Trial 41 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 100, 'max_depth': 4, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 42 finished with value: 0.85 and parameters: {'num_leaves': 85, 'max_depth': 7, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 43 finished with value: 0.85 and parameters: {'num_leaves': 26, 'max_depth': 6, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 44 finished with value: 0.85 and parameters: {'num_leaves': 73, 'max_depth': 18, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 45 finished with value: 0.85 and parameters: {'num_leaves': 81, 'max_depth': 3, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 46 finished with value: 0.85 and parameters: {'num_leaves': 20, 'max_depth': 12, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 47 finished with value: 0.85 and parameters: {'num_leaves': 61, 'max_depth': 10, 'min_child_samples': 4}. Best is trial 1 with value: 0.85.
Trial 48 finished with value: 0.85 and parameters: {'num_leaves': 31, 'max_depth': 15, 'min_child_samples': 5}. Best is trial 1 with value: 0.85.
Trial 49 finished with value: 0.85 and parameters: {'num_leaves': 94, 'max_depth': 8, 'min_child_samples': 4}. Best is trial 1 with value: 0.85.
A new study created in memory with name: GSPCA_LGBM
Trial 0 finished with value: 0.75 and parameters: {'num_leaves': 63, 'max_depth': 10, 'min_child_samples': 5}. Best is trial 0 with value: 0.75.
Trial 1 finished with value: 0.75 and parameters: {'num_leaves': 82, 'max_depth': 17, 'min_child_samples': 5}. Best is trial 0 with value: 0.75.
Trial 2 finished with value: 0.75 and parameters: {'num_leaves': 66, 'max_depth': 8, 'min_child_samples': 4}. Best is trial 0 with value: 0.75.
Trial 3 finished with value: 0.75 and parameters: {'num_leaves': 24, 'max_depth': 13, 'min_child_samples': 4}. Best is trial 0 with value: 0.75.
Trial 4 finished with value: 0.75 and parameters: {'num_leaves': 39, 'max_depth': 5, 'min_child_samples': 5}. Best is trial 0 with value: 0.75.
Trial 5 finished with value: 0.75 and parameters: {'num_leaves': 29, 'max_depth': 10, 'min_child_samples': 4}. Best is trial 0 with value: 0.75.
Trial 6 finished with value: 0.7166666666666667 and parameters: {'num_leaves': 46, 'max_depth': 18, 'min_child_samples': 3}. Best is trial 0 with value: 0.75.
Trial 7 finished with value: 0.7666666666666667 and parameters: {'num_leaves': 31, 'max_depth': 12, 'min_child_samples': 2}. Best is trial 7 with value: 0.7666666666666667.
Trial 8 finished with value: 0.7500000000000001 and parameters: {'num_leaves': 63, 'max_depth': 3, 'min_child_samples': 3}. Best is trial 7 with value: 0.7666666666666667.
Trial 9 finished with value: 0.7666666666666667 and parameters: {'num_leaves': 21, 'max_depth': 8, 'min_child_samples': 2}. Best is trial 7 with value: 0.7666666666666667.
Trial 10 finished with value: 0.7666666666666667 and parameters: {'num_leaves': 99, 'max_depth': 14, 'min_child_samples': 2}. Best is trial 7 with value: 0.7666666666666667.
Trial 11 finished with value: 0.7666666666666667 and parameters: {'num_leaves': 22, 'max_depth': 7, 'min_child_samples': 2}. Best is trial 7 with value: 0.7666666666666667.
Trial 12 finished with value: 0.7666666666666667 and parameters: {'num_leaves': 15, 'max_depth': 14, 'min_child_samples': 2}. Best is trial 7 with value: 0.7666666666666667.
Trial 13 finished with value: 0.7166666666666667 and parameters: {'num_leaves': 40, 'max_depth': 11, 'min_child_samples': 3}. Best is trial 7 with value: 0.7666666666666667.
Trial 14 finished with value: 0.7666666666666667 and parameters: {'num_leaves': 48, 'max_depth': 7, 'min_child_samples': 2}. Best is trial 7 with value: 0.7666666666666667.
Trial 15 finished with value: 0.7166666666666667 and parameters: {'num_leaves': 31, 'max_depth': 16, 'min_child_samples': 3}. Best is trial 7 with value: 0.7666666666666667.
Trial 16 finished with value: 0.7666666666666667 and parameters: {'num_leaves': 16, 'max_depth': 9, 'min_child_samples': 2}. Best is trial 7 with value: 0.7666666666666667.
Trial 17 finished with value: 0.7666666666666667 and parameters: {'num_leaves': 35, 'max_depth': 20, 'min_child_samples': 2}. Best is trial 7 with value: 0.7666666666666667.
Trial 18 finished with value: 0.7166666666666667 and parameters: {'num_leaves': 53, 'max_depth': 12, 'min_child_samples': 3}. Best is trial 7 with value: 0.7666666666666667.
Trial 19 finished with value: 0.7833333333333334 and parameters: {'num_leaves': 75, 'max_depth': 6, 'min_child_samples': 2}. Best is trial 19 with value: 0.7833333333333334.
Trial 20 finished with value: 0.7500000000000001 and parameters: {'num_leaves': 78, 'max_depth': 3, 'min_child_samples': 3}. Best is trial 19 with value: 0.7833333333333334.
Trial 21 finished with value: 0.7666666666666667 and parameters: {'num_leaves': 78, 'max_depth': 5, 'min_child_samples': 2}. Best is trial 19 with value: 0.7833333333333334.
Trial 22 finished with value: 0.7833333333333334 and parameters: {'num_leaves': 69, 'max_depth': 6, 'min_child_samples': 2}. Best is trial 19 with value: 0.7833333333333334.
Trial 23 finished with value: 0.7666666666666667 and parameters: {'num_leaves': 71, 'max_depth': 5, 'min_child_samples': 2}. Best is trial 19 with value: 0.7833333333333334.
Trial 24 finished with value: 0.7833333333333334 and parameters: {'num_leaves': 94, 'max_depth': 6, 'min_child_samples': 2}. Best is trial 19 with value: 0.7833333333333334.
Trial 25 finished with value: 0.7166666666666667 and parameters: {'num_leaves': 94, 'max_depth': 6, 'min_child_samples': 3}. Best is trial 19 with value: 0.7833333333333334.
Trial 26 finished with value: 0.7666666666666667 and parameters: {'num_leaves': 89, 'max_depth': 4, 'min_child_samples': 2}. Best is trial 19 with value: 0.7833333333333334.
Trial 27 finished with value: 0.7166666666666667 and parameters: {'num_leaves': 86, 'max_depth': 7, 'min_child_samples': 3}. Best is trial 19 with value: 0.7833333333333334.
Trial 28 finished with value: 0.7833333333333334 and parameters: {'num_leaves': 75, 'max_depth': 6, 'min_child_samples': 2}. Best is trial 19 with value: 0.7833333333333334.
Trial 29 finished with value: 0.75 and parameters: {'num_leaves': 61, 'max_depth': 10, 'min_child_samples': 4}. Best is trial 19 with value: 0.7833333333333334.
Trial 30 finished with value: 0.7666666666666667 and parameters: {'num_leaves': 70, 'max_depth': 9, 'min_child_samples': 2}. Best is trial 19 with value: 0.7833333333333334.
Trial 31 finished with value: 0.7833333333333334 and parameters: {'num_leaves': 73, 'max_depth': 6, 'min_child_samples': 2}. Best is trial 19 with value: 0.7833333333333334.
Trial 32 finished with value: 0.7666666666666667 and parameters: {'num_leaves': 81, 'max_depth': 4, 'min_child_samples': 2}. Best is trial 19 with value: 0.7833333333333334.
Trial 33 finished with value: 0.7833333333333334 and parameters: {'num_leaves': 57, 'max_depth': 6, 'min_child_samples': 2}. Best is trial 19 with value: 0.7833333333333334.
Trial 34 finished with value: 0.75 and parameters: {'num_leaves': 88, 'max_depth': 8, 'min_child_samples': 5}. Best is trial 19 with value: 0.7833333333333334.
Trial 35 finished with value: 0.7666666666666667 and parameters: {'num_leaves': 99, 'max_depth': 4, 'min_child_samples': 2}. Best is trial 19 with value: 0.7833333333333334.
Trial 36 finished with value: 0.7166666666666667 and parameters: {'num_leaves': 67, 'max_depth': 8, 'min_child_samples': 3}. Best is trial 19 with value: 0.7833333333333334.
Trial 37 finished with value: 0.75 and parameters: {'num_leaves': 75, 'max_depth': 6, 'min_child_samples': 4}. Best is trial 19 with value: 0.7833333333333334.
Trial 38 finished with value: 0.7666666666666667 and parameters: {'num_leaves': 84, 'max_depth': 9, 'min_child_samples': 2}. Best is trial 19 with value: 0.7833333333333334.
Trial 39 finished with value: 0.7333333333333334 and parameters: {'num_leaves': 92, 'max_depth': 5, 'min_child_samples': 3}. Best is trial 19 with value: 0.7833333333333334.
Trial 40 finished with value: 0.7500000000000001 and parameters: {'num_leaves': 67, 'max_depth': 3, 'min_child_samples': 2}. Best is trial 19 with value: 0.7833333333333334.
Trial 41 finished with value: 0.7833333333333334 and parameters: {'num_leaves': 74, 'max_depth': 6, 'min_child_samples': 2}. Best is trial 19 with value: 0.7833333333333334.
Trial 42 finished with value: 0.7666666666666667 and parameters: {'num_leaves': 80, 'max_depth': 7, 'min_child_samples': 2}. Best is trial 19 with value: 0.7833333333333334.
Trial 43 finished with value: 0.7666666666666667 and parameters: {'num_leaves': 62, 'max_depth': 4, 'min_child_samples': 2}. Best is trial 19 with value: 0.7833333333333334.
Trial 44 finished with value: 0.7666666666666667 and parameters: {'num_leaves': 72, 'max_depth': 5, 'min_child_samples': 2}. Best is trial 19 with value: 0.7833333333333334.
Trial 45 finished with value: 0.7666666666666667 and parameters: {'num_leaves': 57, 'max_depth': 8, 'min_child_samples': 2}. Best is trial 19 with value: 0.7833333333333334.
Trial 46 finished with value: 0.7833333333333334 and parameters: {'num_leaves': 94, 'max_depth': 6, 'min_child_samples': 2}. Best is trial 19 with value: 0.7833333333333334.
Trial 47 finished with value: 0.7666666666666667 and parameters: {'num_leaves': 75, 'max_depth': 11, 'min_child_samples': 2}. Best is trial 19 with value: 0.7833333333333334.
Trial 48 finished with value: 0.75 and parameters: {'num_leaves': 65, 'max_depth': 7, 'min_child_samples': 5}. Best is trial 19 with value: 0.7833333333333334.
Trial 49 finished with value: 0.7166666666666667 and parameters: {'num_leaves': 84, 'max_depth': 10, 'min_child_samples': 3}. Best is trial 19 with value: 0.7833333333333334.
A new study created in memory with name: PCA_LR
Trial 0 finished with value: 0.85 and parameters: {'l1_ratio': 0.028691359250407333, 'C': 0.028477513390269042}. Best is trial 0 with value: 0.85.
Trial 1 finished with value: 0.7833333333333333 and parameters: {'l1_ratio': 0.10168272569308912, 'C': 0.6881482434420968}. Best is trial 0 with value: 0.85.
Trial 2 finished with value: 0.7666666666666667 and parameters: {'l1_ratio': 0.42391464823469216, 'C': 0.36421173222997827}. Best is trial 0 with value: 0.85.
Trial 3 finished with value: 0.6833333333333332 and parameters: {'l1_ratio': 0.5736872165975323, 'C': 0.011527795924941122}. Best is trial 0 with value: 0.85.
Trial 4 finished with value: 0.7833333333333334 and parameters: {'l1_ratio': 0.5563056808012942, 'C': 0.04903409622667318}. Best is trial 0 with value: 0.85.
Trial 5 finished with value: 0.8 and parameters: {'l1_ratio': 0.10658045769317359, 'C': 0.4929005159232893}. Best is trial 0 with value: 0.85.
Trial 6 finished with value: 0.7666666666666667 and parameters: {'l1_ratio': 0.8174422007026371, 'C': 0.4618854061445723}. Best is trial 0 with value: 0.85.
Trial 7 finished with value: 0.7833333333333334 and parameters: {'l1_ratio': 0.4518125656567692, 'C': 0.16476672401457085}. Best is trial 0 with value: 0.85.
Trial 8 finished with value: 0.7666666666666667 and parameters: {'l1_ratio': 0.9998004581378984, 'C': 0.5681750794195901}. Best is trial 0 with value: 0.85.
Trial 9 finished with value: 0.7666666666666667 and parameters: {'l1_ratio': 0.7151258495765762, 'C': 0.4940427974624775}. Best is trial 0 with value: 0.85.
Trial 10 finished with value: 0.8166666666666667 and parameters: {'l1_ratio': 0.025637200561269786, 'C': 0.03602710032892047}. Best is trial 0 with value: 0.85.
Trial 11 finished with value: 0.85 and parameters: {'l1_ratio': 0.00210169353711041, 'C': 0.03222126088776849}. Best is trial 0 with value: 0.85.
Trial 12 finished with value: 0.8 and parameters: {'l1_ratio': 0.23196697431728233, 'C': 0.02813640821275667}. Best is trial 0 with value: 0.85.
Trial 13 finished with value: 0.8 and parameters: {'l1_ratio': 0.24238483122713092, 'C': 0.06651414112154248}. Best is trial 0 with value: 0.85.
Trial 14 finished with value: 0.85 and parameters: {'l1_ratio': 0.02116374098225916, 'C': 0.02040067509279881}. Best is trial 0 with value: 0.85.
Trial 15 finished with value: 0.8 and parameters: {'l1_ratio': 0.24127977635168596, 'C': 0.0733118952429412}. Best is trial 0 with value: 0.85.
Trial 16 finished with value: 0.8 and parameters: {'l1_ratio': 0.3245162186626244, 'C': 0.019656048213967887}. Best is trial 0 with value: 0.85.
Trial 17 finished with value: 0.8333333333333333 and parameters: {'l1_ratio': 0.1214169080570509, 'C': 0.011083392566167334}. Best is trial 0 with value: 0.85.
Trial 18 finished with value: 0.8 and parameters: {'l1_ratio': 0.0135042604311418, 'C': 0.10966216696588468}. Best is trial 0 with value: 0.85.
Trial 19 finished with value: 0.85 and parameters: {'l1_ratio': 0.16640655159012271, 'C': 0.03710842016775135}. Best is trial 0 with value: 0.85.
Trial 20 finished with value: 0.7833333333333334 and parameters: {'l1_ratio': 0.34254419967612, 'C': 0.019448989806041036}. Best is trial 0 with value: 0.85.
Trial 21 finished with value: 0.85 and parameters: {'l1_ratio': 0.005792166077083315, 'C': 0.021410799556133047}. Best is trial 0 with value: 0.85.
Trial 22 finished with value: 0.85 and parameters: {'l1_ratio': 0.0009082201499561737, 'C': 0.016287872214072647}. Best is trial 0 with value: 0.85.
Trial 23 finished with value: 0.8333333333333333 and parameters: {'l1_ratio': 0.17058631730347812, 'C': 0.028174768652259107}. Best is trial 0 with value: 0.85.
Trial 24 finished with value: 0.8166666666666667 and parameters: {'l1_ratio': 0.0839796726330514, 'C': 0.04321266841948641}. Best is trial 0 with value: 0.85.
Trial 25 finished with value: 0.85 and parameters: {'l1_ratio': 0.06281987557404214, 'C': 0.014236231204359736}. Best is trial 0 with value: 0.85.
Trial 26 finished with value: 0.8166666666666667 and parameters: {'l1_ratio': 0.19396286980204588, 'C': 0.027128200058941343}. Best is trial 0 with value: 0.85.
Trial 27 finished with value: 0.8166666666666668 and parameters: {'l1_ratio': 0.13007268971480854, 'C': 0.010057496366617283}. Best is trial 0 with value: 0.85.
