A new study created in memory with name: PCA_LGBM
Trial 0 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 95, 'max_depth': 13, 'min_child_samples': 2}. Best is trial 0 with value: 0.8333333333333334.
Trial 15 finished with value: 0.85 and parameters: {'num_leaves': 84, 'max_depth': 17, 'min_child_samples': 4}. Best is trial 4 with value: 0.8666666666666666.
Trial 16 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 54, 'max_depth': 5, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 17 finished with value: 0.85 and parameters: {'num_leaves': 26, 'max_depth': 10, 'min_child_samples': 4}. Best is trial 4 with value: 0.8666666666666666.
Trial 18 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 99, 'max_depth': 15, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 19 finished with value: 0.85 and parameters: {'num_leaves': 81, 'max_depth': 4, 'min_child_samples': 4}. Best is trial 4 with value: 0.8666666666666666.
Trial 20 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 60, 'max_depth': 14, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 21 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 72, 'max_depth': 6, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 22 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 85, 'max_depth': 10, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 23 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 64, 'max_depth': 7, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 24 finished with value: 0.85 and parameters: {'num_leaves': 53, 'max_depth': 8, 'min_child_samples': 4}. Best is trial 4 with value: 0.8666666666666666.
Trial 25 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 91, 'max_depth': 11, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 26 finished with value: 0.85 and parameters: {'num_leaves': 24, 'max_depth': 6, 'min_child_samples': 4}. Best is trial 4 with value: 0.8666666666666666.
Trial 27 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 76, 'max_depth': 17, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 28 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 66, 'max_depth': 3, 'min_child_samples': 3}. Best is trial 4 with value: 0.8666666666666666.
Trial 29 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 96, 'max_depth': 13, 'min_child_samples': 2}. Best is trial 4 with value: 0.8666666666666666.
Trial 30 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 88, 'max_depth': 5, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 31 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 73, 'max_depth': 8, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 32 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 68, 'max_depth': 8, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 33 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 49, 'max_depth': 9, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 34 finished with value: 0.85 and parameters: {'num_leaves': 79, 'max_depth': 11, 'min_child_samples': 4}. Best is trial 4 with value: 0.8666666666666666.
Trial 35 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 57, 'max_depth': 13, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 36 finished with value: 0.85 and parameters: {'num_leaves': 69, 'max_depth': 7, 'min_child_samples': 4}. Best is trial 4 with value: 0.8666666666666666.
Trial 37 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 37, 'max_depth': 12, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 38 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 45, 'max_depth': 9, 'min_child_samples': 2}. Best is trial 4 with value: 0.8666666666666666.
Trial 39 finished with value: 0.8333333333333334 and parameters: {'num_leaves': 33, 'max_depth': 5, 'min_child_samples': 3}. Best is trial 4 with value: 0.8666666666666666.
Trial 40 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 24, 'max_depth': 11, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 41 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 15, 'max_depth': 6, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 42 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 21, 'max_depth': 7, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 43 finished with value: 0.85 and parameters: {'num_leaves': 30, 'max_depth': 4, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 44 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 42, 'max_depth': 8, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 45 finished with value: 0.85 and parameters: {'num_leaves': 19, 'max_depth': 10, 'min_child_samples': 4}. Best is trial 4 with value: 0.8666666666666666.
Trial 46 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 50, 'max_depth': 9, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 47 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 15, 'max_depth': 7, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
Trial 48 finished with value: 0.85 and parameters: {'num_leaves': 29, 'max_depth': 14, 'min_child_samples': 4}. Best is trial 4 with value: 0.8666666666666666.
Trial 49 finished with value: 0.8666666666666666 and parameters: {'num_leaves': 58, 'max_depth': 12, 'min_child_samples': 5}. Best is trial 4 with value: 0.8666666666666666.
A new study created in memory with name: SPCA_LGBM
